scenario_id,seed,pattern_id,eligible,requalified_at_ms,deformation_onset_ms,deformation_clear_ms,shape_revocation_time_ms,flat_revocation_time_ms,comparable_revocation,revocation_lead_ms,tasks_exposed_before_shape_revocation,c_bypasses,d_bypasses,c_wrong_bypasses,d_wrong_bypasses,c_wrong_bypass_rate_over_bypasses,d_wrong_bypass_rate_over_bypasses,c_wrong_bypass_rate_over_tasks,d_wrong_bypass_rate_over_tasks,scenario_kind
D8_HARD_ROLE_DOMINANCE,99,5,True,80940.0,85500.0,89500.0,85500.0,89280.0,True,3780.0,0,21,0,3,0,0.14285714285714285,,0.13043478260869565,0.0,HARD
D8_HARD_ROLE_DOMINANCE,99,6,True,80620.0,85500.0,89500.0,85500.0,85940.0,True,440.0,0,4,0,3,0,0.75,,0.11538461538461539,0.0,HARD
D8_HARD_ROLE_DOMINANCE,99,7,True,80520.0,85500.0,89500.0,85500.0,87700.0,True,2200.0,0,13,0,3,0,0.23076923076923078,,0.12,0.0,HARD
D8_HARD_ROLE_DOMINANCE,500,5,True,81000.0,86000.0,90000.0,86000.0,88000.0,True,2000.0,0,15,0,5,0,0.3333333333333333,,0.16129032258064516,0.0,HARD
D8_HARD_ROLE_DOMINANCE,500,6,True,80600.0,86000.0,90000.0,86000.0,86640.0,True,640.0,0,4,0,2,0,0.5,,0.06666666666666667,0.0,HARD
D8_HARD_ROLE_DOMINANCE,500,7,True,81500.0,86000.0,90000.0,86000.0,87820.0,True,1820.0,0,14,0,3,0,0.21428571428571427,,0.1111111111111111,0.0,HARD
D8_HARD_ROLE_DOMINANCE,777,5,True,80500.0,86500.0,90500.0,86500.0,89560.0,True,3060.0,0,21,0,5,0,0.23809523809523808,,0.15625,0.0,HARD
D8_HARD_ROLE_DOMINANCE,777,6,True,80560.0,86500.0,90500.0,86500.0,87100.0,True,600.0,0,3,0,3,0,1.0,,0.11538461538461539,0.0,HARD
D8_HARD_ROLE_DOMINANCE,777,7,True,81320.0,86500.0,90500.0,86500.0,88980.0,True,2480.0,0,16,0,3,0,0.1875,,0.11538461538461539,0.0,HARD
D8_HARD_ROLE_DOMINANCE,1337,5,True,80460.0,87000.0,91000.0,87000.0,88740.0,True,1740.0,0,13,0,6,0,0.46153846153846156,,0.21428571428571427,0.0,HARD
D8_HARD_ROLE_DOMINANCE,1337,6,True,80600.0,87000.0,91000.0,87000.0,87540.0,True,540.0,0,4,0,3,0,0.75,,0.11538461538461539,0.0,HARD
D8_HARD_ROLE_DOMINANCE,1337,7,True,80480.0,87000.0,91000.0,87000.0,88880.0,True,1880.0,0,15,0,5,0,0.3333333333333333,,0.17857142857142858,0.0,HARD
