scenario_id,seed,arch,tasks,bypasses,wrong_bypasses,fallbacks,fallback_rate,active_window_bypasses,active_window_wrong_bypasses,active_window_fallbacks,clean_window_tasks,clean_window_bypasses,clean_window_fallbacks,shape_denials,evidence_invalidity_denials,hard_failure_denials,soft_degradation_denials,restoring_denials,unnecessary_reconstruction_triggers
D5_HARD_ANGULAR_COMPRESSION,777,D_TETRAHEDRAL_GATE,6000,4792,37,1208,0.20133333333333334,0,0,200,5790,4792,998,210,0,200,0,10,0
D5_HARD_ANGULAR_COMPRESSION,1337,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,1337,B_NAIVE_CACHE,6000,5111,42,889,0.14816666666666667,145,7,55,5790,4960,830,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,1337,C_FLAT_BOUNDED,6000,5004,39,996,0.166,148,9,52,5790,4850,940,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,1337,D_TETRAHEDRAL_GATE,6000,4850,30,1150,0.19166666666666668,0,0,200,5790,4850,940,210,0,200,0,10,0
D6_HARD_COVERAGE_LOSS,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,42,B_NAIVE_CACHE,6000,5006,49,994,0.16566666666666666,138,8,62,5790,4860,930,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,42,C_FLAT_BOUNDED,6000,4904,44,1096,0.18266666666666667,141,11,59,5790,4755,1035,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,42,D_TETRAHEDRAL_GATE,6000,4753,33,1247,0.20783333333333334,0,0,200,5790,4753,1037,210,0,200,0,10,0
D6_HARD_COVERAGE_LOSS,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,99,B_NAIVE_CACHE,6000,5072,54,928,0.15466666666666667,126,11,74,5790,4937,853,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,99,C_FLAT_BOUNDED,6000,4980,49,1020,0.17,125,13,75,5790,4848,942,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,99,D_TETRAHEDRAL_GATE,6000,4849,36,1151,0.19183333333333333,0,0,200,5790,4849,941,210,0,200,0,10,0
